theta_true,theta_predicted,error_deg
13.741863021047598,12.345972378810984,1.3958906422366137
114.63393949246111,117.3376919745266,2.7037524820654966
95.73048814844735,97.32610899305803,1.5956208446106785
164.84030732061393,162.31708045331368,2.5232268673002523
60.521492103946635,58.96178166794118,1.559710436005453
150.22628297264973,153.55438562185185,3.3281026492021226
122.83202883159042,124.91993362204079,2.0879047904503665
175.34542545556303,171.58239184937213,3.763033606190902
58.437051318105105,59.34080186141711,0.9037505433120074
58.801477830044874,59.95720792027801,1.1557300902331349
66.33168430476672,67.69473917838143,1.3630548736147006
124.02912833464562,126.39684817621202,2.367719841566398
111.0088005911678,112.87420342395144,1.8654028327836443
131.77626162424406,132.40568748174883,0.6294258575047706
83.62080416824983,84.22353486254777,0.6027306942979322
134.00630286153526,133.81885658489676,0.18744627663849656
63.44446307795427,65.04055823355475,1.59609515560048
81.63851302422718,83.79309787191566,2.154584847688483
16.815387263597497,15.55967190641075,1.2557153571867463
17.841385357798085,17.965477654354128,0.12409229655604292
50.925353390511944,51.91020178479856,0.9848483942866153
121.5769215871919,125.18102307904367,3.6041014918517646
65.50169797076074,68.02162950975372,2.519931538992978
107.16689167283789,110.39813422000115,3.231242547163262
42.72394893977613,42.912578887648735,0.1886299478726059
9.250275055524405,6.98876792283502,2.2615071326893847
103.76713592274405,105.39640564332582,1.6292697205817745
81.49783746852114,85.16865301730756,3.670815548786422
9.225554831091374,2.2032397396531027,7.022315091438271
7.131951534061778,3.8776770876998814,3.2542744463618964
53.604891045574895,54.60018218580607,0.9952911402311742
0.1423663828029076,178.72531755482254,1.4170488279803806
49.01877451704974,49.4487675808717,0.4299930638219607
95.87149253618534,97.16526026800979,1.2937677318244454
175.96780679429338,172.26309091095845,3.704715883334927
148.5649851571852,147.86099166904802,0.7039934881371721
165.29666648255284,163.64383627691896,1.652830205633876
70.26849144233226,70.71041764135211,0.4419261990198464
50.53706621773344,49.045345814211124,1.491720403522315
18.895528662699462,17.24388131204557,1.6516473506538922
122.45696753807715,123.27114394562726,0.8141764075501072
173.38136799718367,170.0695994272617,3.3117685699219805
174.54367068363172,170.733193538427,3.8104771452047146
87.93563713116778,89.18242890534941,1.2467917741816308
165.1916142449972,164.81514531275766,0.3764689322395327
117.57727306298516,118.92267216999419,1.3453991070090296
33.402483921247374,35.52569448640709,2.1232105651597166
120.51274707990714,123.70703661343407,3.194289533526927
28.85956615024154,26.0868784836588,2.7726876665827405
158.03677295745945,158.11230910442836,0.07553614696891486
119.66734034213786,120.71704699961572,1.0497066574778557
52.082974138242626,52.35732100923266,0.27434687099003696
125.78242529036528,127.37821415734338,1.595788866978097
126.28987121307189,129.61039592789766,3.3205247148257655
179.9069178499634,0.6322122227124147,0.7252943727490049
130.5933392370757,132.17234086639104,1.5790016293153428
104.64395309055284,108.33143724549176,3.6874841549389146
152.0638367012428,150.99775371488414,1.0660829863586514
38.51603454588386,37.20628259274718,1.3097519531366828
118.70253422817464,120.50200729452234,1.7994730663477014
153.80339830659688,154.00204012088514,0.19864181428826555
13.532564357952573,11.976301656802463,1.5562627011501107
67.70934163170001,65.13703152622423,2.572310105475779
29.00403002015708,27.838312890738916,1.1657171294181659
75.11136785349413,78.35352620488597,3.2421583513918364
134.89295396753894,135.78161531845893,0.888661350919989
165.14425378689185,162.4310165081285,2.7132372787633585
36.23590331969908,37.651510722461744,1.4156074027626673
178.76596717973933,175.8538619142733,2.912105265466039
50.304720902317456,48.18484373856532,2.119877163752136
5.447202896391121,3.5961896907697866,1.8510132056213346
35.65587361281188,34.3360832489277,1.3197903638841808
31.34536897609411,30.990902766998513,0.3544662090955981
133.19694344199812,134.452509115229,1.2555656732308762
153.65051168363345,153.0801870487375,0.5703246348959397
44.554039226936595,44.64479598244644,0.09075675550984386
24.46083505570787,22.409524319177347,2.0513107365305245
116.89825985754494,117.61352319586095,0.7152633383160065
96.15161202497944,99.03959392052269,2.8879818955432484
19.61541231534623,18.025754093512933,1.5896582218332966
90.93612391818309,94.04633668959569,3.1102127714126055
168.4030595631856,168.4768834858812,0.07382392269559546
61.97793069834952,61.56976868765199,0.4081620106975308
101.39684301326304,100.81133294993266,0.5855100633303749
76.71727788179994,78.56387309919535,1.8465952173954037
32.207267370001645,33.54842569635935,1.3411583263577072
176.03401898571153,172.9956134988807,3.0384054868308397
143.07751078537856,142.90866430584106,0.16884647953750687
35.04055151081779,34.114555042642834,0.925996468174958
155.8577681212687,156.37193296737016,0.5141648461014654
30.673052815869383,30.874410238860627,0.2013574229912436
42.702112911144724,47.87269322238569,5.170580311240968
145.5523491033373,145.68029609675528,0.12794699341799287
87.14289175541168,86.99643328987159,0.14645846554009267
84.83251712226247,87.38390992585428,2.55139280359181
140.95829877073226,140.4999524611606,0.45834630957165245
34.59319696620413,34.33598524080558,0.2572117253985553
155.31557251773367,154.53248331242733,0.7830892053063394
51.09188030319318,54.91664394933807,3.8247636461448877
13.816956962244792,11.612187461202737,2.2047695010420547
